cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob,balance,age,sum_prev_day,prev_tran_long,prev_tran_lat,sum_prev_day_onl,cnt_prev_day_onl,avg_per_day,avg_per_week,avg_per_month,avg_per_qtr,avg_per_year,last_tran_date
123560,Scott,Robertson,M,7416 Nicholas Flats,Lemitar,NM,87823,34.156,-106.9044,Private music teacher,3/25/1949,,,,,,,,,,,,,
123561,Timothy,Gibson,M,708 Mitchell Keys,Thayer,KS,66776,37.4527,-95.4671,Leisure centre manager,05/03/1982,,,,,,,,,,,,,
123562,Sara,Crawford,F,352 Armstrong Centers Suite 279,Bakersfield,CA,93311,35.3039,-119.1056,Archivist,07/06/1991,,,,,,,,,,,,,
123563,Kevin,Martin,M,40514 Diana Expressway Suite 789,Savannah,NY,13146,43.0934,-76.7565,"Scientist, physiological",07/08/1973,,,,,,,,,,,,,
123564,Devin,Hunter,M,327 Franco Mountain,San Francisco,CA,94109,37.7917,-122.4186,Arts development officer,02/12/1959,,,,,,,,,,,,,
123565,Jeffrey,Garza,M,4032 Burnett Causeway,Chicago,IL,60603,41.8798,-87.6285,"Nurse, adult",12/09/1976,,,,,,,,,,,,,
123566,Krystal,Chan,F,1085 Jerry Villages,Paterson,NJ,7522,40.9252,-74.1781,Electronics engineer,12/28/1958,,,,,,,,,,,,,
123567,Antonio,Garcia,M,2145 Chad Viaduct,Wray,CO,80758,40.0685,-102.393,Advertising account executive,9/17/1978,,,,,,,,,,,,,
123568,John,Brown,M,79481 Potter Ville Suite 885,Francitas,TX,77961,28.8652,-96.3618,"Engineer, civil (contracting)",8/14/1973,,,,,,,,,,,,,
123569,Rebecca,Brown,F,4211 Sanders Orchard Apt. 124,Madrid,NY,13660,44.769,-75.1413,Building surveyor,12/19/1975,,,,,,,,,,,,,
123570,Daniel,Perry,M,756 Benjamin Locks Suite 330,Hamilton,MS,39746,33.8011,-88.4478,"Engineer, control and instrumentation",6/21/1924,,,,,,,,,,,,,
123571,Joseph,Steele,M,99597 Craig Spur Suite 430,Goldfield,NV,89013,37.8344,-117.2694,Data scientist,05/06/1978,,,,,,,,,,,,,
123572,Matthew,Nelson,M,13242 Jackson Landing,Hendrum,MN,56550,47.2689,-96.7988,"Programme researcher, broadcasting/film/video",7/14/1987,,,,,,,,,,,,,
123573,Tiffany,Russell,F,51848 Brittany Highway Apt. 021,Garrison,IA,52229,42.1588,-92.1644,Human resources officer,05/07/1977,,,,,,,,,,,,,
123574,Melissa,Baldwin,F,6116 Simon Drive,Chicago,IL,60657,41.9399,-87.6528,Technical author,08/09/1983,,,,,,,,,,,,,
123575,Stephanie,Martin,F,7068 Williams Highway Apt. 457,Bruni,TX,78344,27.4295,-98.8385,Senior tax professional/tax inspector,01/08/1973,,,,,,,,,,,,,
123576,Jennifer,Roman,F,14016 Young Hills,Rock River,WY,82083,41.7461,-105.9746,"Engineer, structural",10/27/2002,,,,,,,,,,,,,
123577,Timothy,Silva,M,1339 Matthew View,Port Clinton,OH,43452,41.5583,-83.0502,"Psychologist, counselling",4/29/1939,,,,,,,,,,,,,
123578,Stephen,Miller,M,427 Monica Plaza Apt. 287,Charlotte,NC,28277,35.0552,-80.8195,Building surveyor,8/13/1969,,,,,,,,,,,,,
123579,Melissa,James,F,537 Bryant Mall,Salt Lick,KY,40371,38.104,-83.6316,"Psychologist, forensic",7/20/1956,,,,,,,,,,,,,
123580,Carla,Fleming,F,9667 Brown Club Suite 507,Spring City,PA,19475,40.1765,-75.5697,"Engineer, chemical",5/21/1961,,,,,,,,,,,,,
123581,Nathaniel,Wiggins,M,0171 Travis Course,Terre Haute,IN,47809,39.471,-87.4111,Education administrator,5/16/1945,,,,,,,,,,,,,
123582,Holly,Martinez,F,453 Keith Lake Apt. 539,Dublin,GA,31021,32.4593,-82.9381,Purchasing manager,11/25/1940,,,,,,,,,,,,,
123583,Louis,Gibson,M,218 Hernandez Brook,Sperryville,VA,22740,38.6203,-78.2466,Clinical biochemist,02/11/1942,,,,,,,,,,,,,
123584,Jonathan,Flores,M,01416 Moore Haven,Richford,VT,5476,44.9715,-72.6905,Wellsite geologist,07/07/1966,,,,,,,,,,,,,
123585,William,Reed,M,334 Adam Lodge Suite 340,London,OH,43140,39.9001,-83.4439,Insurance risk surveyor,4/17/1970,,,,,,,,,,,,,
123586,Debra,Davis,F,566 Reed Well,Canton,MI,48188,42.291,-83.465,"Teacher, special educational needs",03/02/1998,,,,,,,,,,,,,
123587,John,Peterson,M,11713 Melissa Isle,Florence,AL,35633,34.8825,-87.7398,Osteopath,3/17/1982,,,,,,,,,,,,,
123588,Sarah,Parsons,F,87839 Taylor Keys Suite 844,Erie,PA,16503,42.1265,-80.064,"Administrator, sports",6/21/1955,,,,,,,,,,,,,
123589,Carl,Lynch,M,626 Ronald Hills,Orlando,FL,32811,28.5163,-81.4516,"Accountant, chartered public finance",5/18/1940,,,,,,,,,,,,,
123590,Tommy,Gutierrez,M,630 Christina Harbor,Zephyr Cove,NV,89448,39.0204,-119.9114,Geophysical data processor,09/08/1949,,,,,,,,,,,,,
123591,Aarifa,el-Minhas,M,7416 Nicholas Flats,Lemitar,NM,87823,34.156,-106.9044,Private music teacher,11/30/1948,,,,,,,,,,,,,
123592,Nohelia,Alcon,M,708 Mitchell Keys,Thayer,KS,66776,37.4527,-95.4671,Leisure centre manager,2/19/1982,,,,,,,,,,,,,
123593,Kayla,Havener,F,352 Armstrong Centers Suite 279,Bakersfield,CA,93311,35.3039,-119.1056,Archivist,3/28/1991,,,,,,,,,,,,,
123594,Christian,Birk,M,40514 Diana Expressway Suite 789,Savannah,NY,13146,43.0934,-76.7565,"Scientist, physiological",3/22/1973,,,,,,,,,,,,,
123595,Alexandria,Freeman,M,327 Franco Mountain,San Francisco,CA,94109,37.7917,-122.4186,Arts development officer,11/22/1958,,,,,,,,,,,,,
123596,Jiyaad,al-Sharaf,M,4032 Burnett Causeway,Chicago,IL,60603,41.8798,-87.6285,"Nurse, adult",8/24/1976,,,,,,,,,,,,,
123597,Stacey,Major,F,1085 Jerry Villages,Paterson,NJ,7522,40.9252,-74.1781,Electronics engineer,10/10/1958,,,,,,,,,,,,,
123598,Aron,Garcia,M,2145 Chad Viaduct,Wray,CO,80758,40.0685,-102.393,Advertising account executive,7/18/1978,,,,,,,,,,,,,
123599,Alyssa,Moore,M,79481 Potter Ville Suite 885,Francitas,TX,77961,28.8652,-96.3618,"Engineer, civil (contracting)",4/29/1973,,,,,,,,,,,,,
123600,Kharece,Grandberry,F,4211 Sanders Orchard Apt. 124,Madrid,NY,13660,44.769,-75.1413,Building surveyor,10/15/1975,,,,,,,,,,,,,
123601,Saahira,el-Masih,M,756 Benjamin Locks Suite 330,Hamilton,MS,39746,33.8011,-88.4478,"Engineer, control and instrumentation",03/03/1924,,,,,,,,,,,,,
123602,Kelsey,Turner,M,99597 Craig Spur Suite 430,Goldfield,NV,89013,37.8344,-117.2694,Data scientist,12/17/1977,,,,,,,,,,,,,
123603,Isiah,el-Masih,M,13242 Jackson Landing,Hendrum,MN,56550,47.2689,-96.7988,"Programme researcher, broadcasting/film/video",04/12/1987,,,,,,,,,,,,,
123604,Victoria,Wearsch,F,51848 Brittany Highway Apt. 021,Garrison,IA,52229,42.1588,-92.1644,Human resources officer,02/12/1977,,,,,,,,,,,,,
123605,Matthew,Quidachay,F,6116 Simon Drive,Chicago,IL,60657,41.9399,-87.6528,Technical author,4/26/1983,,,,,,,,,,,,,
123606,Mawhiba,el-Saba,F,7068 Williams Highway Apt. 457,Bruni,TX,78344,27.4295,-98.8385,Senior tax professional/tax inspector,09/10/1972,,,,,,,,,,,,,
123607,Brian,Ishii,M,031 Jessica Harbor Suite 104,Caledonia,MN,55921,43.6221,-91.4837,Hydrographic surveyor,6/16/1974,,,,,,,,,,,,,
123608,Sitaara,el-Rahim,F,14016 Young Hills,Rock River,WY,82083,41.7461,-105.9746,"Engineer, structural",06/01/1992,,,,,,,,,,,,,
123609,William,Tafoya,M,1339 Matthew View,Port Clinton,OH,43452,41.5583,-83.0502,"Psychologist, counselling",01/03/1939,,,,,,,,,,,,,
123610,Cynthia,Solorio,M,427 Monica Plaza Apt. 287,Charlotte,NC,28277,35.0552,-80.8195,Building surveyor,4/16/1969,,,,,,,,,,,,,
123611,Brandon,Garcia,F,537 Bryant Mall,Salt Lick,KY,40371,38.104,-83.6316,"Psychologist, forensic",3/31/1956,,,,,,,,,,,,,
123612,Shaedon,Apostolopoulos,F,9667 Brown Club Suite 507,Spring City,PA,19475,40.1765,-75.5697,"Engineer, chemical",12/22/1960,,,,,,,,,,,,,
123613,Ayesha,Rentie,M,0171 Travis Course,Terre Haute,IN,47809,39.471,-87.4111,Education administrator,03/08/1945,,,,,,,,,,,,,
123614,Jasmine,Gadison,F,453 Keith Lake Apt. 539,Dublin,GA,31021,32.4593,-82.9381,Purchasing manager,07/07/1940,,,,,,,,,,,,,
123615,Ashqar,Leung,M,218 Hernandez Brook,Sperryville,VA,22740,38.6203,-78.2466,Clinical biochemist,10/29/1941,,,,,,,,,,,,,
123616,Hissa,al-Hallal,M,01416 Moore Haven,Richford,VT,5476,44.9715,-72.6905,Wellsite geologist,02/11/1966,,,,,,,,,,,,,
123617,Angel,Major,M,334 Adam Lodge Suite 340,London,OH,43140,39.9001,-83.4439,Insurance risk surveyor,1/27/1970,,,,,,,,,,,,,
123618,Isaac,Turner,F,566 Reed Well,Canton,MI,48188,42.291,-83.465,"Teacher, special educational needs",01/01/1998,,,,,,,,,,,,,
123619,Karissa,Gadison,M,11713 Melissa Isle,Florence,AL,35633,34.8825,-87.7398,Osteopath,1/20/1982,,,,,,,,,,,,,
123620,Mustafa,Major,F,87839 Taylor Keys Suite 844,Erie,PA,16503,42.1265,-80.064,"Administrator, sports",4/15/1955,,,,,,,,,,,,,
123621,Jessica,Leung,M,626 Ronald Hills,Orlando,FL,32811,28.5163,-81.4516,"Accountant, chartered public finance",3/25/1940,,,,,,,,,,,,,
123622,Aiman,al-Ishmael,M,204 Cohen Meadow Suite 976,Hathaway Pines,CA,95233,38.1919,-120.3644,Data processing manager,06/06/1958,,,,,,,,,,,,,
123623,Cory,Aslamy,F,242 Cody Pass,Colstrip,MT,59323,45.9344,-106.6368,Air broker,3/23/1983,,,,,,,,,,,,,
123624,Sean,Burg,F,0771 Solis Road Apt. 469,Brooklyn,NY,11228,40.6174,-74.0121,Tourism officer,05/11/1957,,,,,,,,,,,,,
123625,Kylie,Lindsey,F,09110 Marie Run,Oswego,IL,60543,41.6849,-88.3453,Magazine features editor,11/04/1994,,,,,,,,,,,,,
123626,Tateh,Reynolds,M,81823 Karen Haven,Lewis Center,OH,43035,40.1879,-82.9878,"Designer, industrial/product",07/11/1995,,,,,,,,,,,,,
123627,Tuhfa,al-Bari,F,431 Walker Via,Chicago,IL,60601,41.8858,-87.6181,Retail banker,8/29/1950,,,,,,,,,,,,,
123628,Braden,Powers,F,8905 Jones Road Apt. 997,Sperry,IA,52650,40.9419,-91.185,"Conservation officer, nature",08/07/1960,,,,,,,,,,,,,
123629,Kele,Shen,M,3472 Knight Loop,Livonia,NY,14487,42.8135,-77.6635,Landscape architect,2/17/1955,,,,,,,,,,,,,
123630,Anna,Begay,F,889 Gonzales Locks Suite 512,Peoria,IL,61607,40.6321,-89.6903,Event organiser,12/28/1928,,,,,,,,,,,,,
123631,Caylene,Greene,F,38381 Lindsay Lights,La Plata,NM,87418,36.9576,-108.1792,"Engineer, electronics",3/28/1989,,,,,,,,,,,,,
123632,Kylee,Begay,F,18202 Sandra Bridge Suite 869,Ashland,NE,68003,41.0541,-96.3904,"Editor, film/video",1/19/1942,,,,,,,,,,,,,
123633,Tahleel,Jordan,M,95514 Andrew Street,Elk Point,SD,57025,42.7382,-96.687,Chiropractor,3/20/1953,,,,,,,,,,,,,
123634,Israa,al-Reza,F,531 Hammond Stream Apt. 068,Burnet,TX,78611,30.7766,-98.2642,Television camera operator,2/24/1951,,,,,,,,,,,,,
123635,Anna,Rohner,M,34153 Maria Mountain,Salem,OR,97302,44.9039,-123.0445,Human resources officer,02/05/1954,,,,,,,,,,,,,
123636,Kelsey,Ngiateng,F,2145 Chad Viaduct,Wray,CO,80758,40.0685,-102.393,Advertising account executive,9/17/1978,,,,,,,,,,,,,
123637,Angel,al-Imam,F,79481 Potter Ville Suite 885,Francitas,TX,77961,28.8652,-96.3618,"Engineer, civil (contracting)",8/14/1973,,,,,,,,,,,,,
123638,Kharece,Freeman,F,4211 Sanders Orchard Apt. 124,Madrid,NY,13660,44.769,-75.1413,Building surveyor,12/19/1975,,,,,,,,,,,,,
123639,Aarifa,Major,M,1085 Jerry Villages,Paterson,NJ,7522,40.9252,-74.1781,Electronics engineer,10/10/1958,,,,,,,,,,,,,
123640,Kharece,Greene,F,2145 Chad Viaduct,Wray,CO,80758,40.0685,-102.393,Advertising account executive,7/18/1978,,,,,,,,,,,,,
123641,Angel,Begay,M,79481 Potter Ville Suite 885,Francitas,TX,77961,28.8652,-96.3618,"Engineer, civil (contracting)",4/29/1973,,,,,,,,,,,,,
